TaxiID,lpep_pickup_datetime,lpep_dropoff_datetime,passenger_count,trip_distance,total_amount
17083,2018-01-01 00:18:50,2018-01-01 00:24:39,5,0.7,7.3
6826,2018-01-01 00:30:26,2018-01-01 00:46:42,5,3.5,15.8
2779,2018-01-01 00:07:25,2018-01-01 00:19:45,1,2.14,11.3
13185,2018-01-01 00:32:40,2018-01-01 00:33:41,1,0.03,-4.3
14702,2018-01-01 00:32:40,2018-01-01 00:33:41,1,0.03,4.3
12940,2018-01-01 00:38:35,2018-01-01 01:08:50,1,5.63,22.3
15740,2018-01-01 00:18:41,2018-01-01 00:28:22,5,1.71,9.8
13730,2018-01-01 00:38:02,2018-01-01 00:55:02,5,3.45,18.96
3172,2018-01-01 00:05:02,2018-01-01 00:18:35,1,1.61,11.3
2044,2018-01-01 00:35:23,2018-01-01 00:42:07,1,1.87,8.8
10689,2018-01-01 00:21:00,2018-01-01 00:39:04,2,4.12,17.8
7339,2018-01-01 00:56:29,2018-01-01 01:04:44,2,1.22,8.3
353,2018-01-01 00:11:48,2018-01-01 00:30:13,1,4.67,18.3
649,2018-01-01 00:57:59,2018-01-01 01:12:26,1,2.71,16.64
1567,2018-01-01 00:36:58,2018-01-01 00:51:08,2,6.01,24.3
12235,2018-01-01 00:07:40,2018-01-01 00:15:20,1,1.9,12.3
18467,2018-01-01 00:25:09,2018-01-01 00:42:04,2,4.3,20.15
2272,2018-01-01 00:42:52,2018-01-01 01:00:53,1,6.9,23.3
11051,2018-01-01 00:06:22,2018-01-01 00:08:17,1,0.3,4.8
11051,2018-01-01 00:06:22,2018-01-01 00:08:17,1,0.3,4.8
15833,2018-01-01 00:34:53,2018-01-01 00:52:55,1,4.47,23.31
11255,2018-01-01 00:25:08,2018-01-01 00:28:27,1,0.5,5.8
3928,2018-01-01 00:36:26,2018-01-01 00:51:07,1,1.82,10.3
1781,2018-01-01 00:53:05,2018-01-01 01:26:51,1,11.79,46.71
13073,2018-01-01 00:11:41,2018-01-01 00:22:10,1,1.9,13.35
10067,2018-01-01 00:40:32,2018-01-01 01:01:20,1,10.3,35.3
18264,2018-01-01 00:15:30,2018-01-01 00:25:17,1,1.66,11.76
13094,2018-01-01 00:35:44,2018-01-01 00:48:23,1,2.91,16.62
4521,2018-01-01 00:55:56,2018-01-01 01:28:05,1,6.09,32.88
3677,2018-01-01 00:41:36,2018-01-01 00:56:36,5,5.3,21.96
17435,2018-01-01 00:36:47,2018-01-01 00:44:55,1,1.63,11.16
8088,2018-01-01 00:48:38,2018-01-01 00:51:21,1,0.91,5.8
4243,2018-01-01 00:56:18,2018-01-01 01:00:25,2,0.92,6.3
10530,2018-01-01 00:27:41,2018-01-01 00:34:23,1,0.98,7.3
6010,2018-01-01 00:41:38,2018-01-01 00:52:21,1,1.42,10.3
18025,2018-01-01 00:48:44,2018-01-01 00:53:32,1,0.42,6.3
9008,2018-01-01 00:46:14,2018-01-01 01:02:07,1,3.15,17.16
12171,2018-01-01 01:03:50,2018-01-01 01:09:36,1,0.85,6.8
567,2018-01-01 00:30:52,2018-01-01 00:38:43,5,1.28,10.56
3545,2018-01-01 00:39:21,2018-01-01 00:48:02,5,1.58,11.16
3263,2018-01-01 00:59:08,2018-01-01 01:25:30,5,4.43,19.8
13287,2018-01-01 00:07:47,2018-01-01 00:19:59,1,4.8,20.15
8462,2018-01-01 00:27:35,2018-01-01 00:34:55,1,1.59,11.16
14414,2018-01-01 00:46:21,2018-01-01 01:08:36,1,4.8,25.38
17910,2018-01-01 00:44:53,2018-01-01 00:50:17,1,0.51,5.8
15980,2018-01-01 00:50:23,2018-01-01 01:18:08,1,0.54,17.3
7611,2018-01-01 00:33:34,2018-01-01 00:40:00,1,1.64,8.3
10789,2018-01-01 00:47:29,2018-01-01 00:56:32,1,1.31,9.3
17877,2018-01-01 00:21:14,2018-01-01 00:33:15,1,3.32,13.8
6424,2018-01-01 00:36:46,2018-01-01 00:40:53,1,0.82,6.3
2488,2018-01-01 00:06:43,2018-01-01 00:20:45,1,4.2,0
3820,2018-01-01 00:35:36,2018-01-01 01:04:21,4,4.8,0
16623,2018-01-01 00:37:51,2018-01-01 00:51:36,1,6.47,21.3
6016,2018-01-01 00:26:40,2018-01-01 01:03:38,1,7.27,34.84
5272,2018-01-01 00:13:46,2018-01-01 00:13:49,1,0.02,3.8
16263,2018-01-01 00:40:08,2018-01-01 00:52:07,1,2.41,14.76
337,2018-01-01 00:56:40,2018-01-01 01:07:41,6,1.68,10.3
13059,2018-01-01 00:24:28,2018-01-01 00:40:27,2,2.6,18.8
3152,2018-01-01 00:22:51,2018-01-01 00:29:22,1,0.97,8.76
138,2018-01-01 00:43:11,2018-01-01 00:46:43,1,0.86,6.3
9383,2018-01-01 00:59:20,2018-01-01 01:15:39,1,3.77,19
15150,2018-01-01 00:42:58,2018-01-01 00:48:46,1,1.04,7.3
7807,2018-01-01 00:26:52,2018-01-01 00:32:14,1,0.88,6.8
6598,2018-01-01 00:36:44,2018-01-01 00:42:01,1,0.97,7.3
19169,2018-01-01 00:50:58,2018-01-01 00:59:07,1,1.3,8.8
18333,2018-01-01 00:04:29,2018-01-01 00:23:48,1,3.4,16.3
7154,2018-01-01 00:26:55,2018-01-01 00:37:56,1,2.2,11.3
3689,2018-01-01 00:27:07,2018-01-01 00:41:47,1,3.34,18.5
14141,2018-01-01 00:54:36,2018-01-01 01:42:54,1,10.58,45
11893,2018-01-01 00:44:35,2018-01-01 00:46:37,1,0.42,4.8
2218,2018-01-01 00:51:16,2018-01-01 00:58:18,1,1.34,9.96
11176,2018-01-01 00:12:10,2018-01-01 00:14:57,1,0.51,6.89
13099,2018-01-01 00:50:21,2018-01-01 00:56:13,1,0.88,7.3
12886,2018-01-01 00:57:51,2018-01-01 01:00:38,1,0.6,5.8
7285,2018-01-01 00:14:56,2018-01-01 00:16:07,1,0.1,4.3
14040,2018-01-01 00:19:45,2018-01-01 00:23:21,1,0.7,6.95
6449,2018-01-01 00:30:21,2018-01-01 00:36:48,1,1,7.3
14699,2018-01-01 00:42:32,2018-01-01 00:46:37,1,0.8,6.3
3466,2018-01-01 00:57:27,2018-01-01 01:07:13,1,1.5,9.8
18635,2018-01-01 00:12:30,2018-01-01 00:17:05,1,0.25,5.8
19895,2018-01-01 00:26:33,2018-01-01 00:30:06,1,0.77,6.3
1295,2018-01-01 00:30:52,2018-01-01 00:40:30,1,1.7,9.8
2483,2018-01-01 00:35:24,2018-01-01 00:38:56,1,0.68,8.19
4447,2018-01-01 00:40:28,2018-01-01 00:44:01,1,0.78,6.3
16826,2018-01-01 00:45:12,2018-01-01 00:54:49,1,1.97,14.04
5023,2018-01-01 00:38:25,2018-01-01 00:52:28,4,2.91,13.3
2223,2018-01-01 00:52:46,2018-01-01 01:01:34,5,1.6,9.3
13760,2018-01-01 00:25:33,2018-01-01 00:28:47,2,0.5,5.3
16900,2018-01-01 00:38:50,2018-01-01 00:44:16,1,1.3,9.36
7185,2018-01-01 00:47:19,2018-01-01 00:55:39,4,3.8,13.8
14894,2018-01-01 00:59:58,2018-01-01 01:17:09,1,4.28,20.76
16375,2018-01-01 00:11:39,2018-01-01 00:23:23,1,1.98,11.3
14638,2018-01-01 00:28:16,2018-01-01 00:46:44,1,5.27,24.36
18479,2018-01-01 01:02:36,2018-01-01 01:26:46,1,4.55,19.8
7049,2018-01-01 00:11:55,2018-01-01 00:21:07,1,1.1,10.56
15781,2018-01-01 00:30:37,2018-01-01 00:44:38,1,2.85,13.8
30,2018-01-01 00:52:53,2018-01-01 01:06:53,1,3.68,20.31
17234,2018-01-01 00:33:20,2018-01-01 00:52:41,1,5.35,20.3
13054,2018-01-01 00:16:56,2018-01-01 00:39:02,1,6.32,29.75
12662,2018-01-01 00:59:41,2018-01-01 01:07:30,1,2.31,10.8
7251,2018-01-01 00:29:43,2018-01-01 00:30:59,1,0.51,4.8
14260,2018-01-01 00:37:34,2018-01-01 00:50:44,1,2.55,15.96
1211,2018-01-01 00:54:53,2018-01-01 01:08:24,1,3.16,13.8
17830,2018-01-01 00:57:30,2018-01-01 01:13:04,2,5.86,20.3
10326,2018-01-01 00:35:06,2018-01-01 00:59:27,1,3.6,19.3
19789,2018-01-01 00:48:43,2018-01-01 00:58:03,2,1.96,10.3
1164,2018-01-01 00:41:40,2018-01-01 00:54:32,1,2.08,11.8
9048,2018-01-01 01:00:19,2018-01-01 01:03:10,1,0.58,5.3
9430,2018-01-01 00:53:11,2018-01-01 00:59:25,1,1,7.3
6410,2018-01-01 00:05:12,2018-01-01 00:11:43,1,1.15,7.8
4253,2018-01-01 00:31:13,2018-01-01 00:51:24,1,5.07,20.3
4449,2018-01-01 00:26:19,2018-01-01 00:36:02,1,2.45,11.8
19637,2018-01-01 01:01:04,2018-01-01 01:41:26,1,18.54,64.39
11231,2018-01-01 00:27:32,2018-01-01 00:40:21,1,2.51,12.8
9757,2018-01-01 00:59:26,2018-01-01 01:15:09,1,8.01,24.8
6645,2018-01-01 00:46:55,2018-01-01 00:53:04,1,0.92,8.76
150,2018-01-01 00:12:49,2018-01-01 00:49:06,1,9.2,33.3
2830,2018-01-01 00:27:52,2018-01-01 00:31:58,1,1.08,7.8
18155,2018-01-01 00:36:54,2018-01-01 00:41:32,1,1.3,9.49
18950,2018-01-01 00:31:57,2018-01-01 00:47:01,2,2,12.3
18159,2018-01-01 00:47:37,2018-01-01 00:53:14,6,1.3,9.12
12854,2018-01-01 00:19:44,2018-01-01 00:32:04,1,2.31,11.3
16729,2018-01-01 00:46:18,2018-01-01 00:55:46,1,2.35,10.8
14801,2018-01-01 00:21:54,2018-01-01 00:41:15,1,7.63,25.3
19240,2018-01-01 01:00:05,2018-01-01 01:14:51,1,4.42,17.3
13160,2018-01-01 00:07:21,2018-01-01 00:11:04,1,0.78,6.3
2389,2018-01-01 00:28:43,2018-01-01 00:30:28,1,0.33,6
15063,2018-01-01 00:40:21,2018-01-01 00:47:43,1,1.55,8.8
16177,2018-01-01 00:20:17,2018-01-01 00:48:40,2,5.3,28.3
3581,2018-01-01 00:22:40,2018-01-01 00:42:37,1,4.97,23.76
2994,2018-01-01 00:43:49,2018-01-01 00:49:37,1,1.21,10.8
6051,2018-01-01 00:52:08,2018-01-01 01:09:30,1,5.82,26
9163,2018-01-01 00:07:28,2018-01-01 00:13:25,1,1.26,7.3
19055,2018-01-01 00:51:23,2018-01-01 00:56:13,1,0.84,6.8
12946,2018-01-01 00:17:03,2018-01-01 00:22:57,1,0.46,6.8
5794,2018-01-01 00:28:00,2018-01-01 00:34:15,1,0.98,9.49
17307,2018-01-01 00:24:04,2018-01-01 00:42:52,1,5.41,25.38
1467,2018-01-01 00:34:22,2018-01-01 00:50:29,1,3.5,15.3
7916,2018-01-01 00:30:51,2018-01-01 00:43:34,1,2.06,11.8
6315,2018-01-01 00:45:33,2018-01-01 00:55:30,1,1.73,12.36
7956,2018-01-01 00:55:48,2018-01-01 01:02:08,1,1.19,9.8
8519,2018-01-01 00:18:24,2018-01-01 00:29:55,1,2.5,12.8
16950,2018-01-01 00:50:20,2018-01-01 01:05:57,1,5.01,29.47
4228,2018-01-01 00:23:45,2018-01-01 00:23:45,1,0,5.8
16725,2018-01-01 00:52:43,2018-01-01 01:22:40,1,5.6,24.8
18548,2018-01-01 00:43:48,2018-01-01 00:47:34,1,0.7,5.8
2879,2018-01-01 00:55:38,2018-01-01 01:01:29,1,1.4,8.3
11309,2018-01-01 00:10:46,2018-01-01 00:28:49,1,0.86,12.8
7760,2018-01-01 00:40:52,2018-01-01 01:24:42,1,8.11,39.96
2958,2018-01-01 00:18:46,2018-01-01 00:27:01,1,1.45,11.44
348,2018-01-01 00:40:06,2018-01-01 00:47:30,1,1.16,7.8
15964,2018-01-01 00:52:28,2018-01-01 01:55:25,1,14.92,52.8
13046,2018-01-01 00:58:25,2018-01-01 01:24:46,2,7.95,57
6780,2018-01-01 00:13:35,2018-01-01 00:16:15,1,0.6,6.89
7914,2018-01-01 00:13:13,2018-01-01 00:26:59,1,3.3,14.3
19430,2018-01-01 00:47:50,2018-01-01 00:52:49,1,0.72,8.16
4938,2018-01-01 00:12:06,2018-01-01 00:12:36,1,0,8.8
17970,2018-01-01 00:19:29,2018-01-01 00:32:32,1,2.38,12.3
6531,2018-01-01 00:45:57,2018-01-01 01:33:11,1,15.97,51.8
19687,2018-01-01 00:14:36,2018-01-01 00:22:19,6,1.98,13.11
6062,2018-01-01 00:57:17,2018-01-01 01:10:19,5,6.36,20.3
5020,2018-01-01 00:10:14,2018-01-01 00:14:58,1,0.92,6.3
4668,2018-01-01 00:50:05,2018-01-01 00:53:54,1,0.52,5.8
1070,2018-01-01 00:56:20,2018-01-01 01:03:06,1,1.04,8.76
6865,2018-01-01 00:26:27,2018-01-01 00:32:26,1,1.14,7.8
5770,2018-01-01 00:40:42,2018-01-01 00:56:15,1,2.76,14.3
6752,2018-01-01 00:18:07,2018-01-01 00:31:26,1,3.47,16.56
8605,2018-01-01 00:50:28,2018-01-01 00:58:16,1,1.12,8.3
14606,2018-01-01 00:13:12,2018-01-01 00:18:21,1,0.72,6.8
19433,2018-01-01 00:50:01,2018-01-01 01:10:52,1,10.1,30.8
14274,2018-01-01 00:51:32,2018-01-01 00:55:45,1,0.72,6.3
3966,2018-01-01 00:19:17,2018-01-01 00:21:18,5,0.43,4.8
14454,2018-01-01 00:22:19,2018-01-01 00:28:53,5,1.36,9.75
6354,2018-01-01 00:32:40,2018-01-01 00:37:57,5,2.1,9.3
3597,2018-01-01 00:41:06,2018-01-01 00:57:35,5,4.95,21.96
13619,2018-01-01 00:46:47,2018-01-01 00:56:32,1,1.33,9.3
7556,2018-01-01 00:05:58,2018-01-01 00:19:34,1,2.44,12.8
14944,2018-01-01 00:35:12,2018-01-01 00:50:19,1,2.6,17.25
16103,2018-01-01 00:19:09,2018-01-01 00:32:58,1,2.13,14.16
14818,2018-01-01 00:46:46,2018-01-01 00:47:46,1,0.11,4.3
646,2018-01-01 00:49:30,2018-01-01 01:20:27,1,12.87,39.3
15693,2018-01-01 00:04:17,2018-01-01 00:07:56,5,0.77,6.3
1233,2018-01-01 00:25:55,2018-01-01 00:28:56,5,0.81,5.8
511,2018-01-01 00:34:08,2018-01-01 00:53:31,5,11.47,43.29
16513,2018-01-01 00:03:09,2018-01-01 00:16:14,1,2.4,12.8
14554,2018-01-01 00:32:36,2018-01-01 00:46:19,1,5.35,21.96
2192,2018-01-01 00:59:30,2018-01-01 01:06:20,1,0.86,9.36
7616,2018-01-01 00:40:39,2018-01-01 00:48:24,1,1.35,8.3
137,2018-01-01 00:07:59,2018-01-01 00:12:54,1,0.66,8.84
1273,2018-01-01 00:33:15,2018-01-01 00:44:14,1,1.65,10.3
1648,2018-01-01 00:51:02,2018-01-01 01:03:11,1,3.79,14.8
816,2018-01-01 00:11:48,2018-01-01 00:24:32,1,2.01,11.3
6200,2018-01-01 00:31:31,2018-01-01 00:38:15,1,2.37,9.8
3718,2018-01-01 00:45:21,2018-01-01 00:51:44,1,2.84,15.3
10148,2018-01-01 00:07:51,2018-01-01 00:15:23,2,1.3,10.56
3311,2018-01-01 00:19:08,2018-01-01 00:38:43,1,3.89,21
7603,2018-01-01 00:52:25,2018-01-01 00:54:02,2,0.43,4.8
1610,2018-01-01 00:59:40,2018-01-01 01:08:25,2,1.79,9.8
5787,2018-01-01 00:20:11,2018-01-01 00:29:25,5,2.93,12.8
2966,2018-01-01 00:52:45,2018-01-01 01:17:25,5,7.78,41.47
19192,2018-01-01 00:27:42,2018-01-01 00:38:41,1,2.33,14.16
9285,2018-01-01 00:55:12,2018-01-01 01:00:41,1,0.93,8.76
17070,2018-01-01 00:42:04,2018-01-01 00:43:30,1,0.33,4.88
297,2018-01-01 00:56:51,2018-01-01 01:04:16,1,1.7,9.3
16152,2018-01-01 00:08:18,2018-01-01 00:12:52,1,0.96,6.3
12139,2018-01-01 00:34:53,2018-01-01 00:39:00,1,0.83,6.3
2203,2018-01-01 00:43:20,2018-01-01 01:03:29,1,5.06,24.36
12713,2018-01-01 00:15:42,2018-01-01 00:27:31,5,4.6,16.3
849,2018-01-01 00:30:08,2018-01-01 00:36:41,5,3.14,11.8
16853,2018-01-01 00:36:35,2018-01-01 00:42:14,1,1.05,7.3
6671,2018-01-01 00:23:51,2018-01-01 00:33:46,1,1.94,12.36
446,2018-01-01 00:39:55,2018-01-01 00:50:30,1,1.74,12.36
19843,2018-01-01 00:15:54,2018-01-01 00:29:26,1,3.78,18.36
1032,2018-01-01 01:43:53,2018-01-01 02:19:09,1,22.5,62.8
2117,2018-01-01 00:32:18,2018-01-01 01:05:21,1,6.64,27.3
6663,2018-01-01 00:22:44,2018-01-01 00:35:53,1,2.8,16.6
9900,2018-01-01 00:52:23,2018-01-01 01:19:00,1,4.8,26.3
19665,2018-01-01 00:02:23,2018-01-01 00:19:41,1,3.47,15.3
6621,2018-01-01 00:16:03,2018-01-01 00:23:29,1,1.29,8.3
16786,2018-01-01 00:42:00,2018-01-01 00:45:03,1,0.43,5.3
5399,2018-01-01 00:16:47,2018-01-01 00:27:38,1,2.16,13.56
17851,2018-01-01 00:27:16,2018-01-01 00:48:45,1,4.03,23.79
17406,2018-01-01 00:52:16,2018-01-01 00:53:44,1,0.42,4.8
566,2018-01-01 00:55:37,2018-01-01 01:00:12,1,0.69,6.3
15140,2018-01-01 00:45:17,2018-01-01 01:02:09,1,7.5,29.15
5414,2018-01-01 00:24:15,2018-01-01 00:38:42,2,2.58,16.62
16161,2018-01-01 00:42:12,2018-01-01 00:48:51,2,1.14,9.36
18928,2018-01-01 00:58:07,2018-01-01 01:11:08,1,2.4,12.3
5132,2018-01-01 00:19:35,2018-01-01 00:28:50,1,3.21,12.8
4032,2018-01-01 00:38:13,2018-01-01 00:47:10,1,1.42,8.3
15597,2018-01-01 00:51:23,2018-01-01 00:58:08,1,1.18,7.8
9660,2018-01-01 00:43:41,2018-01-01 01:00:10,5,3.32,19.24
739,2018-01-01 00:34:59,2018-01-01 00:40:25,1,0.85,6.8
18476,2018-01-01 00:47:20,2018-01-01 00:52:45,1,0.51,8.19
5132,2018-01-01 00:55:04,2018-01-01 01:08:17,1,5.34,18.3
16711,2018-01-01 00:22:56,2018-01-01 00:29:03,1,1.03,7.8
1723,2018-01-01 00:32:26,2018-01-01 00:44:24,1,3.42,17.16
17065,2018-01-01 00:54:42,2018-01-01 01:01:39,1,1.19,9.96
14519,2018-01-01 00:48:11,2018-01-01 01:14:09,1,5.54,20.3
7042,2018-01-01 00:35:35,2018-01-01 00:39:40,1,0.77,7.56
9400,2018-01-01 00:41:02,2018-01-01 00:44:34,1,0.73,8.19
17247,2018-01-01 00:37:08,2018-01-01 00:50:33,1,4.54,16.3
7258,2018-01-01 00:37:00,2018-01-01 00:54:57,1,6.25,22.3
15409,2018-01-01 00:40:52,2018-01-01 00:57:55,1,5.74,24.36
19184,2018-01-01 00:16:46,2018-01-01 00:34:35,2,4.67,23.16
13152,2018-01-01 00:42:50,2018-01-01 00:43:06,1,0,3.8
16014,2018-01-01 00:44:18,2018-01-01 00:46:43,1,0.6,5.3
3809,2018-01-01 00:51:15,2018-01-01 00:53:51,1,0.55,5.3
3333,2018-01-01 00:13:55,2018-01-01 00:24:38,1,1.5,10.3
4875,2018-01-01 00:58:31,2018-01-01 01:16:03,1,3.28,15.3
7869,2018-01-01 00:00:24,2018-01-01 00:00:55,1,0.08,3.8
6018,2018-01-01 00:16:20,2018-01-01 00:18:56,1,0.52,5.3
10925,2018-01-01 00:20:51,2018-01-01 00:24:51,1,1.01,6.8
15021,2018-01-01 00:27:21,2018-01-01 00:34:05,1,1.14,9.3
19010,2018-01-01 00:43:48,2018-01-01 00:55:29,1,1.9,14.12
5942,2018-01-01 00:13:56,2018-01-01 00:21:00,1,1.2,8.8
12102,2018-01-01 00:28:56,2018-01-01 00:45:28,1,5.33,30.67
13991,2018-01-01 00:13:57,2018-01-01 00:27:01,1,3.02,16.56
4082,2018-01-01 00:52:41,2018-01-01 01:04:28,1,2.95,12.3
12448,2018-01-01 00:17:30,2018-01-01 00:24:10,1,1.71,8.8
7383,2018-01-01 00:28:48,2018-01-01 00:32:34,1,0.55,5.8
185,2018-01-01 00:43:42,2018-01-01 00:54:31,1,2.34,11.3
5398,2018-01-01 00:57:17,2018-01-01 01:06:21,1,1.86,9.8
16352,2018-01-01 00:49:35,2018-01-01 01:01:39,1,3.02,15.36
16054,2018-01-01 00:11:55,2018-01-01 00:15:25,1,0.73,5.8
16832,2018-01-01 00:18:06,2018-01-01 00:22:45,1,0.61,5.8
16591,2018-01-01 00:41:44,2018-01-01 01:07:57,1,5.07,21.8
3197,2018-01-01 00:11:45,2018-01-01 00:12:52,1,0.07,4.3
14812,2018-01-01 00:24:25,2018-01-01 00:39:06,1,4,18.3
12600,2018-01-01 00:16:36,2018-01-01 00:16:45,6,0,16
6973,2018-01-01 00:36:56,2018-01-01 01:04:06,5,6.06,28.5
10629,2018-01-01 00:14:30,2018-01-01 00:17:36,1,0.4,5.3
10703,2018-01-01 00:24:37,2018-01-01 00:28:28,2,0.9,6.3
1075,2018-01-01 00:02:11,2018-01-01 00:09:48,1,1.2,8.3
17737,2018-01-01 00:16:51,2018-01-01 00:29:01,1,2.4,12.3
18328,2018-01-01 00:35:45,2018-01-01 00:46:18,1,2,10.8
10549,2018-01-01 00:22:52,2018-01-01 00:36:31,1,3.06,13.8
4143,2018-01-01 00:05:22,2018-01-01 00:15:25,1,1.95,10.3
7750,2018-01-01 00:40:45,2018-01-01 00:52:14,1,1.78,14.31
6588,2018-01-01 00:39:27,2018-01-01 01:12:58,1,7.38,28.3
3836,2018-01-01 00:11:31,2018-01-01 00:15:29,1,0.64,5.8
14123,2018-01-01 00:24:38,2018-01-01 00:37:54,1,1.72,10.3
16252,2018-01-01 00:29:33,2018-01-01 00:34:41,1,0.9,9.49
11592,2018-01-01 00:40:10,2018-01-02 00:34:41,1,5.08,20.8
19457,2018-01-01 00:15:10,2018-01-01 00:23:54,1,1.4,10.7
16596,2018-01-01 00:38:22,2018-01-01 00:45:55,1,1.3,8.3
4678,2018-01-01 00:49:03,2018-01-01 01:09:00,1,4.1,18.3
17412,2018-01-01 00:27:19,2018-01-01 00:35:59,1,1.44,9.3
7498,2018-01-01 00:40:52,2018-01-01 00:59:19,1,3.99,17.3
9648,2018-01-01 00:31:42,2018-01-01 00:47:50,1,6.08,24.96
10546,2018-01-01 00:19:17,2018-01-01 00:47:17,1,4.94,22.3
7048,2018-01-01 00:39:07,2018-01-01 00:57:11,1,5.43,26.39
11096,2018-01-01 00:11:35,2018-01-01 00:15:58,1,0.65,6.3
4552,2018-01-01 00:26:16,2018-01-01 00:42:13,1,6.88,27.36
18921,2018-01-01 00:19:44,2018-01-01 00:37:27,2,2.28,19.24
5082,2018-01-01 00:40:17,2018-01-01 00:56:23,2,3.22,18.36
5326,2018-01-01 00:27:43,2018-01-01 00:33:56,2,1.45,8.3
9086,2018-01-01 00:11:38,2018-01-01 00:36:02,1,4.76,21.3
18085,2018-01-01 00:53:32,2018-01-01 01:05:39,3,1.88,10.8
9409,2018-01-01 00:19:48,2018-01-01 00:26:25,6,0.96,9.43
15886,2018-01-01 00:33:06,2018-01-01 00:40:07,6,1.16,8.3
7107,2018-01-01 00:51:41,2018-01-01 01:15:54,6,4.17,25.74
4373,2018-01-01 00:15:55,2018-01-01 00:16:37,1,0.6,3.8
10925,2018-01-01 00:42:42,2018-01-01 00:52:54,2,1.52,9.8
10814,2018-01-01 00:37:47,2018-01-01 00:43:50,1,0.66,6.3
2498,2018-01-01 00:06:34,2018-01-01 00:15:10,1,1.55,9.8
8420,2018-01-01 00:29:43,2018-01-01 00:47:11,1,2.73,13.8
14139,2018-01-01 00:51:07,2018-01-01 01:02:23,1,1.43,9.8
5924,2018-01-01 00:36:49,2018-01-01 01:11:06,1,9.05,33.3
13924,2018-01-01 00:39:01,2018-01-01 00:46:31,1,3.16,12.3
19402,2018-01-01 00:03:40,2018-01-01 00:06:35,2,0.5,6.89
15545,2018-01-01 00:19:36,2018-01-01 00:38:38,2,11.55,38.8
3771,2018-01-01 00:24:15,2018-01-01 00:43:34,3,5.2,20.3
13361,2018-01-01 00:45:54,2018-01-01 00:54:10,1,1.9,9.8
15722,2018-01-01 00:04:52,2018-01-01 00:28:36,1,7.43,26.3
5338,2018-01-01 00:37:46,2018-01-01 00:52:05,1,2.33,12.8
380,2018-01-01 00:54:28,2018-01-01 01:27:44,1,10.33,35.8
8768,2018-01-01 00:12:01,2018-01-01 00:25:51,1,2.52,17.29
5831,2018-01-01 00:02:18,2018-01-01 00:09:53,2,1.58,8.8
12209,2018-01-01 00:13:05,2018-01-01 00:24:55,3,2.58,14.76
11805,2018-01-01 00:31:09,2018-01-01 00:38:33,3,1.18,8.3
12858,2018-01-01 00:41:18,2018-01-01 00:45:05,3,0.94,6.3
7337,2018-01-01 00:51:41,2018-01-01 00:58:04,3,0.88,9.49
4442,2018-01-01 00:59:38,2018-01-01 01:02:25,3,0.84,7.54
7166,2018-01-01 00:36:03,2018-01-01 01:20:34,5,7.37,33.3
11272,2018-01-01 00:15:55,2018-01-01 00:31:07,1,4.02,16.3
15833,2018-01-01 00:35:53,2018-01-01 00:46:58,1,2.55,11.8
171,2018-01-01 00:03:08,2018-01-01 00:03:19,2,0.01,52.8
7666,2018-01-01 00:03:45,2018-01-01 00:08:12,2,0.8,6.3
6036,2018-01-01 00:16:53,2018-01-01 00:39:34,2,11.99,42.96
150,2018-01-01 00:46:31,2018-01-01 00:50:43,1,1.07,6.8
